Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
novartis,,$117.45 B,$131.79 B,$132.05 B,$118.37 B,$145.56 B,$133.07 B,$130.12 B,$131.55 B,$125.38 B,$126.25 B,$124.21 B,$117.49 B,$123.31 B,$95.50 B,$78.29 B,$75.45 B,$68.00 B,$57.73 B,$54.46 B,$49.31 B,$45.14 B,$40.30 B
netflix,,$48.59 B,$44.58 B,$39.28 B,$33.97 B,$25.97 B,$19.01 B,$13.58 B,$10.20 B,$7.05 B,$5.41 B,$3.96 B,$3.06 B,$0.98 B,$0.67 B,$0.61 B,$0.64 B,$0.60 B,$0.36 B,$0.25 B,$0.17 B,$0.13 B,$41.63 M
astrazeneca,,$96.48 B,$105.36 B,$66.72 B,$61.37 B,$60.65 B,$63.35 B,$62.52 B,$60.12 B,$58.59 B,$55.89 B,$53.53 B,$52.83 B,$56.12 B,$54.92 B,$46.95 B,$47.95 B,$29.93 B,$24.84 B,$25.65 B,$23.57 B,$21.58 B,$26.44 B
cisco,$101.85 B,$94.00 B,$97.49 B,$94.85 B,$97.79 B,$108.78 B,$129.81 B,$121.65 B,$113.48 B,$105.13 B,$101.19 B,$91.75 B,$87.09 B,$81.13 B,$68.12 B,$58.73 B,$53.34 B,$43.31 B,$33.88 B,$35.59 B,$37.10 B,$37.79 B,$35.23 B
linde,,$79.65 B,$81.60 B,$88.22 B,$86.61 B,$93.38 B,$20.43 B,$19.33 B,$18.31 B,$19.80 B,$20.25 B,$18.09 B,$16.35 B,$15.27 B,$14.31 B,$13.05 B,$13.38 B,$11.10 B,$10.49 B,$9.87 B,$8.30 B,$7.40 B,$7.71 B
thermo-fisher-scientific,,$97.29 B,$94.79 B,$69.05 B,$58.18 B,$56.18 B,$56.58 B,$45.83 B,$40.99 B,$42.63 B,$31.87 B,$27.35 B,$26.83 B,$21.38 B,$21.60 B,$21.09 B,$21.20 B,$21.26 B,$4.25 B,$3.57 B,$3.38 B,$3.64 B,$3.82 B
sap,,$77.28 B,$80.59 B,$71.92 B,$67.47 B,$58.90 B,$51.01 B,$46.69 B,$45.25 B,$46.67 B,$37.41 B,$35.54 B,$30.09 B,$27.55 B,$19.86 B,$19.84 B,$15.15 B,$12.56 B,$10.70 B,$10.28 B,$7.95 B,$6.04 B,$6.67 B
alibaba,$255.15 B,$267.17 B,$257.22 B,$184.94 B,$143.80 B,$114.15 B,$73.56 B,$56.45 B,$41.22 B,$17.98 B,$10.26 B,$7.49 B,$2.43 B,$1.92 B,$1.38 B,$1.15 B,$0.82 B,$0.26 B,,,,,
pinduoduo,,$34.38 B,$28.43 B,$24.36 B,$10.88 B,$6.27 B,$2.04 B,$0.25 B,,,,,,,,,,,,,,,
abbott-laboratories,,$74.43 B,$75.19 B,$72.54 B,$67.88 B,$67.17 B,$76.25 B,$52.66 B,$41.24 B,$41.27 B,$42.95 B,$67.23 B,$60.27 B,$59.46 B,$52.41 B,$42.41 B,$39.71 B,$36.17 B,$29.14 B,$28.76 B,$26.71 B,$24.25 B,$23.29 B
t-mobile-us,,$211.33 B,$206.56 B,$200.16 B,$86.92 B,$72.46 B,$70.56 B,$65.89 B,$62.43 B,$56.65 B,$49.95 B,$10.18 B,$9.48 B,$7.91 B,$7.38 B,$6.42 B,$5.80 B,$4.15 B,$2.15 B,,$0.89 B,$0.55 B,$0.32 B
intel,,$182.10 B,$168.40 B,$153.09 B,$136.52 B,$127.96 B,$123.24 B,$113.32 B,$103.06 B,$91.95 B,$92.35 B,$84.35 B,$71.11 B,$63.13 B,$53.09 B,$50.71 B,$55.65 B,$48.36 B,$48.31 B,$48.14 B,$47.14 B,$44.22 B,$44.39 B
nike,$37.53 B,$40.32 B,$37.74 B,$31.34 B,$23.71 B,$22.53 B,$23.25 B,$21.39 B,$21.60 B,$18.59 B,$17.58 B,$15.46 B,$14.99 B,$14.41 B,$13.24 B,$12.44 B,$10.68 B,$9.86 B,$8.79 B,$7.89 B,$6.71 B,$6.44 B,$5.81 B
china-mobile,,$275.52 B,$288.96 B,$264.92 B,$233.22 B,$223.33 B,$233.96 B,$219.04 B,$220.31 B,$209.37 B,$192.89 B,$168.74 B,$151.56 B,$130.35 B,$110.00 B,$96.53 B,$77.25 B,$63.37 B,$52.18 B,$44.60 B,$37.17 B,$34.42 B,$20.99 B
agricultural-bank-of-china,,$4.919 T,$4.561 T,$4.171 T,$3.561 T,$3.287 T,$3.236 T,$2.818 T,$2.745 T,$2.579 T,$2.406 T,$2.124 T,$1.858 T,$1.563 T,$1.300 T,$1.029 T,$727.36 B,$684.59 B,$591.33 B,$485.54 B,,,
walt-disney,$205.57 B,$203.63 B,$203.60 B,$201.54 B,$193.98 B,$98.59 B,$95.78 B,$92.03 B,$88.18 B,$84.18 B,$81.24 B,$74.89 B,$72.12 B,$69.20 B,$63.11 B,$62.49 B,$60.92 B,$59.99 B,$53.15 B,$53.90 B,$49.98 B,$50.04 B,$43.69 B
