Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
hsbc,,,$422.43 B,$328.72 B,$173.88 B,$182.38 B,$200.38 B,$148.41 B,$116.20 B,$150.61 B,$195.54 B,$175.34 B,$157.93 B,$81.90 B,$80.80 B,$64.49 B,$40.78 B,$30.02 B,$25.01 B,$9.87 B,$7.66 B,$7.65 B,$6.18 B
qualcomm,$11.32 B,$6.38 B,$12.41 B,$11.21 B,$12.26 B,$12.08 B,$37.30 B,$18.64 B,$17.32 B,$17.56 B,$14.96 B,$12.37 B,$11.65 B,$10.27 B,$11.06 B,$6.41 B,$6.58 B,$5.72 B,$6.54 B,$5.98 B,$4.56 B,$2.79 B,$2.28 B
ibm,,$8.73 B,$7.25 B,$13.81 B,$8.86 B,$11.99 B,$12.58 B,$8.52 B,$8.19 B,$8.47 B,$11.06 B,$11.12 B,$11.92 B,$11.65 B,$13.97 B,$12.90 B,$16.14 B,$10.65 B,$13.68 B,$10.57 B,$7.64 B,$5.97 B,$6.39 B
china-construction-bank,,,$506.68 B,$573.34 B,$517.91 B,$509.43 B,$560.35 B,$137.98 B,$115.76 B,$90.91 B,$84.10 B,$120.92 B,$64.99 B,$23.70 B,$19.41 B,$8.08 B,$12.31 B,$6.33 B,$21.85 B,$9.13 B,$76.93 B,,
bank-of-china,,,$612.35 B,$584.55 B,$514.63 B,$542.94 B,$529.90 B,$176.81 B,$170.95 B,$197.28 B,$200.84 B,$192.93 B,$171.79 B,$122.51 B,$86.86 B,$68.28 B,$176.32 B,$57.73 B,$46.59 B,$41.39 B,$39.08 B,,
boeing,,$17.22 B,$16.24 B,$25.59 B,$10.03 B,$8.56 B,$9.99 B,$10.02 B,$12.05 B,$13.09 B,$15.25 B,$13.55 B,$11.27 B,$10.51 B,$11.22 B,$3.27 B,$9.30 B,$6.38 B,$5.96 B,$3.52 B,$4.63 B,$2.33 B,$0.63 B
amgen,,$9.30 B,$8.03 B,$10.64 B,$8.91 B,$29.30 B,$41.67 B,$38.08 B,$31.38 B,$27.02 B,$19.40 B,$24.06 B,$20.64 B,$17.42 B,$13.44 B,$9.55 B,$7.15 B,$6.27 B,$5.25 B,$5.80 B,$5.12 B,$4.66 B,$2.66 B
servicenow,,$4.28 B,$3.30 B,$3.09 B,$1.69 B,$1.49 B,$1.77 B,$0.89 B,$0.80 B,$0.66 B,$0.63 B,$0.31 B,$59.85 M,$29.4 M,,,,,,,,,
texas-instruments,,$9.06 B,$9.73 B,$6.56 B,$5.38 B,$4.23 B,$4.46 B,$3.49 B,$3.21 B,$3.54 B,$3.82 B,$3.96 B,$2.93 B,$3.07 B,$2.92 B,$2.54 B,$2.92 B,$3.71 B,$5.33 B,$6.35 B,$4.32 B,$3.01 B,$2.94 B
prosus,$20.87 B,$13.56 B,$5.69 B,$7.84 B,$9.09 B,$10.95 B,$3.20 B,,,,,,,,,,,,,,,,
philip-morris,,$3.20 B,$4.49 B,$7.28 B,$6.86 B,$6.59 B,$8.44 B,$4.23 B,$3.41 B,$1.68 B,$2.15 B,$2.98 B,$2.55 B,$1.70 B,$1.54 B,$1.53 B,$1.65 B,$1.67 B,$1.20 B,,$3.16 B,,
union-pacific-corporation,,$1.01 B,$1.00 B,$1.85 B,$0.89 B,$1.33 B,$1.36 B,$1.33 B,$1.39 B,$1.58 B,$1.43 B,$1.06 B,$1.21 B,$1.08 B,$1.85 B,$1.24 B,$0.87 B,$0.82 B,$0.77 B,$0.97 B,$0.52 B,$0.36 B,$0.11 B
siemens,,$12.76 B,$13.97 B,$19.63 B,$15.74 B,$15.72 B,$12.71 B,$14.61 B,$13.87 B,$12.79 B,$17.59 B,$18.33 B,$21.52 B,$23.11 B,$19.39 B,$14.32 B,$10.15 B,$13.77 B,$11.91 B,$16.88 B,$15.31 B,$12.48 B,$9.25 B
dior,,$11.99 B,$12.08 B,$25.96 B,$7.61 B,$12.83 B,$12.36 B,$3.76 B,$3.39 B,$3.86 B,$2.78 B,$2.35 B,$3.14 B,$3.20 B,$3.62 B,$1.50 B,$2.35 B,$2.59 B,$2.28 B,$1.71 B,$1.07 B,$0.92 B,$0.89 B
