Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
ibm,$147.88 B,$126.28 B,$119.86 B,$112.16 B,$118.90 B,$101.44 B,$142.03 B,$157.83 B,$132.90 B,$158.91 B,$197.77 B,$214.03 B,$216.72 B,$180.22 B,$170.86 B,$112.69 B,$149.64 B,$146.26 B,$128.83 B,$162.22 B,$157.04 B,$133.48 B,$208.43 B
china-construction-bank,$144.90 B,$157.96 B,$175.35 B,$192.21 B,$217.99 B,$207.22 B,$232.75 B,$192.56 B,$173.49 B,$208.20 B,$188.16 B,$200.20 B,$175.07 B,$222.62 B,$201.33 B,$128.46 B,$202.89 B,,,,,,
bank-of-china,$146.04 B,$125.71 B,$131.02 B,$131.39 B,$147.14 B,$146.73 B,$169.19 B,$141.48 B,$167.78 B,$184.65 B,$123.28 B,$128.93 B,$121.36 B,$139.69 B,$153.87 B,$98.34 B,$195.99 B,$165.72 B,,,,,
boeing,$148.03 B,$113.52 B,$118.56 B,$120.84 B,$183.37 B,$183.06 B,$175.64 B,$96.08 B,$96.38 B,$91.86 B,$102.00 B,$56.94 B,$54.51 B,$47.98 B,$39.33 B,$31.00 B,$67.17 B,$70.07 B,$56.20 B,$43.08 B,$33.72 B,$26.37 B,$30.94 B
amgen,$144.02 B,$140.13 B,$126.71 B,$133.85 B,$142.56 B,$122.56 B,$126.23 B,$108.76 B,$122.39 B,$121.12 B,$86.08 B,$65.19 B,$56.28 B,$51.16 B,$56.28 B,$60.46 B,$50.48 B,$79.64 B,$96.52 B,$80.82 B,$79.31 B,$62.31 B,$59.02 B
servicenow,$143.34 B,$78.43 B,$129.17 B,$107.38 B,$53.48 B,$32.08 B,$22.51 B,$12.34 B,$13.91 B,$10.14 B,$7.86 B,$3.79 B,,,,,,,,,,,
texas-instruments,$142.61 B,$149.94 B,$174.14 B,$150.66 B,$119.57 B,$89.31 B,$102.93 B,$72.93 B,$55.42 B,$55.95 B,$47.54 B,$34.23 B,$33.26 B,$37.94 B,$32.31 B,$20.12 B,$44.29 B,$42.25 B,$51.20 B,$42.29 B,$51.27 B,$25.97 B,$48.55 B
prosus,$141.83 B,$137.88 B,$261.92 B,$176.24 B,$121.15 B,,,,,,,,,,,,,,,,,,
philip-morris,$141.75 B,$156.89 B,$147.89 B,$128.93 B,$132.39 B,$103.78 B,$164.09 B,$141.93 B,$136.20 B,$125.99 B,$138.44 B,$138.30 B,$136.31 B,$105.45 B,$90.94 B,$88.02 B,,,,,,,
union-pacific-corporation,$140.06 B,$127.30 B,$161.95 B,$140.31 B,$125.12 B,$100.22 B,$105.55 B,$85.44 B,$66.40 B,$105.23 B,$76.60 B,$59.02 B,$51.17 B,$45.54 B,$32.27 B,$24.92 B,$32.77 B,$24.86 B,$21.46 B,$17.45 B,$17.98 B,$15.16 B,$13.88 B
