Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
pfizer,,$34.87 B,$36.99 B,$38.27 B,$52.14 B,$41.26 B,$42.60 B,$42.08 B,$38.97 B,$36.68 B,$36.48 B,$37.46 B,$38.94 B,$44.03 B,$48.66 B,$17.28 B,$13.13 B,$7.98 B,$17.93 B,$18.54 B,$14.57 B,$11.80 B,$8.87 B
danaher,,$19.67 B,$22.17 B,$21.20 B,$21.72 B,$9.74 B,$10.52 B,$12.26 B,$12.87 B,$3.47 B,$3.49 B,$5.34 B,$5.30 B,$2.82 B,$2.93 B,$2.55 B,$3.72 B,$2.43 B,$1.04 B,$1.35 B,$1.29 B,$1.30 B,$1.19 B
hdfc-bank,$39.48 B,$28.83 B,$24.19 B,$19.18 B,$24.46 B,$24.02 B,$15.18 B,$7.98 B,$9.51 B,$6.59 B,$6.08 B,$5.72 B,$3.81 B,$3.88 B,$1.86 B,$4.06 B,$2.99 B,$2.08 B,$1.54 B,$0.69 B,$0.28 B,$0.28 B,$0.22 B
verizon,,$176.33 B,$177.93 B,$150.54 B,$133.14 B,$113.06 B,$117.09 B,$108.07 B,$110.19 B,$113.27 B,$93.59 B,$51.98 B,$55.15 B,$52.79 B,$62.25 B,$51.95 B,$31.15 B,$36.36 B,$39.01 B,$39.26 B,$45.38 B,$54.07 B,$64.32 B
tata-consultancy-services,$0.93 B,$1.03 B,$1.06 B,$1.08 B,$77.05 M,$0.11 B,$0.11 B,$0.10 B,$0.12 B,$0.10 B,$42.79 M,$22.85 M,$16.76 M,$23.04 M,$0.11 B,$0.11 B,$0.11 B,$26.2 M,$46.55 M,,,,
intuit,$6.60 B,$7.45 B,$2.41 B,$3.59 B,$0.43 B,$0.43 B,$0.48 B,$1.00 B,$0.50 B,$0.49 B,$0.49 B,$0.49 B,$1.18 B,$1.15 B,$1.18 B,$0.99 B,$0.99 B,$15.39 M,$17.54 M,$16.39 M,$29.26 M,$32.53 M,$51.08 M
bhp-group,$22.34 B,$16.42 B,$20.98 B,$27.04 B,$24.82 B,$26.80 B,$30.47 B,$36.42 B,$31.17 B,$34.58 B,$35.16 B,$28.33 B,$15.90 B,$16.23 B,$16.41 B,$12.69 B,$10.64 B,$9.01 B,$11.12 B,$6.58 B,$7.31 B,,$3.68 B
totalenergies,,$60.76 B,$64.54 B,$77.30 B,$62.59 B,$53.43 B,$52.43 B,$56.98 B,$56.95 B,$56.42 B,$45.82 B,$44.02 B,$41.77 B,$40.47 B,$37.86 B,$33.28 B,$28.45 B,$26.43 B,$20.96 B,$17.95 B,$17.12 B,$16.02 B,$13.12 B
hsbc,,$100.43 B,$99.04 B,$117.44 B,$129.15 B,$107.77 B,$84.37 B,$86.89 B,$111.65 B,$122.61 B,$133.05 B,$148.94 B,$161.61 B,$285.97 B,$229.82 B,$209.12 B,$271.39 B,$252.99 B,$204.60 B,$211.72 B,$174.75 B,$53.33 B,$43.43 B
qualcomm,$15.39 B,$15.48 B,$15.74 B,$15.72 B,$15.93 B,$16.37 B,$21.89 B,$11.75 B,$10.96 B,,,,$0.99 B,$1.08 B,,$0.17 B,,,,,$0.22 B,$94.28 M,
ibm,,$54.01 B,$55.14 B,$66.46 B,$68.15 B,$45.81 B,$46.82 B,$42.16 B,$39.88 B,$40.80 B,$39.71 B,$33.26 B,$31.32 B,$28.62 B,$26.10 B,$33.92 B,$35.27 B,$22.68 B,$22.64 B,$22.92 B,$23.63 B,$26.01 B,$27.15 B
china-construction-bank,,$289.78 B,$254.64 B,$197.76 B,$228.77 B,$173.90 B,$150.66 B,$111.48 B,$113.75 B,$102.39 B,$84.84 B,$61.46 B,$39.30 B,$24.13 B,$20.02 B,$14.22 B,$9.71 B,$8.38 B,$7.12 B,$7.61 B,,,
bank-of-china,,$273.89 B,$269.72 B,$237.80 B,$226.16 B,$161.31 B,$113.87 B,$79.02 B,$84.45 B,$75.30 B,$81.39 B,$71.00 B,$63.81 B,$43.47 B,$26.58 B,$38.60 B,$54.45 B,$7.70 B,,,,,
boeing,,$57.00 B,$58.10 B,$63.58 B,$27.30 B,$13.84 B,$11.11 B,$9.95 B,$9.96 B,$9.07 B,$9.63 B,$10.40 B,$12.37 B,$12.42 B,$12.92 B,$7.51 B,$8.21 B,$9.53 B,$10.72 B,$12.20 B,$14.44 B,$14.40 B,$12.26 B
amgen,,$38.94 B,$33.30 B,$32.98 B,$29.90 B,$33.92 B,$35.34 B,$34.59 B,$31.55 B,$30.71 B,$32.12 B,$26.52 B,$21.42 B,$13.36 B,$10.60 B,$10.17 B,$11.17 B,$9.01 B,$3.95 B,$5.11 B,$3.07 B,$3.17 B,$0.32 B
servicenow,,$2.23 B,$2.21 B,$2.13 B,$1.13 B,$0.66 B,$1.17 B,$0.50 B,$0.47 B,$0.44 B,$0.41 B,,,,,,,,,,,,
