Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
agricultural-bank-of-china,$98.50 B,$107.64 B,$111.19 B,$95.58 B,$90.76 B,$90.05 B,$80.00 B,$75.96 B,$85.07 B,$84.19 B,$75.45 B,$67.06 B,$58.85 B,$43.26 B,,,,,,,,,
walt-disney,$88.89 B,$84.41 B,$72.98 B,$60.74 B,$75.12 B,$59.38 B,$55.70 B,$55.17 B,$54.31 B,$49.89 B,$46.00 B,$42.84 B,$40.95 B,$39.04 B,$36.28 B,$36.99 B,$36.50 B,$35.15 B,$32.13 B,$30.86 B,$28.14 B,$25.82 B,$24.88 B
petro-china,$435.30 B,$479.13 B,$404.61 B,$281.80 B,$363.56 B,$352.96 B,$300.89 B,$241.80 B,$273.73 B,$369.10 B,$368.71 B,$349.02 B,$312.39 B,$218.32 B,$149.37 B,$155.75 B,$111.12 B,$86.73 B,$68.39 B,$47.01 B,$36.73 B,$29.53 B,$28.86 B
comcast,$120.87 B,$121.42 B,$116.38 B,$103.56 B,$108.94 B,$94.50 B,$84.52 B,$80.40 B,$74.51 B,$68.77 B,$64.65 B,$62.57 B,$55.84 B,$37.93 B,$35.75 B,$34.25 B,$30.89 B,$25.59 B,$22.25 B,$20.30 B,$20.49 B,$12.46 B,$9.67 B
wells-fargo,$81.77 B,$73.78 B,$78.02 B,$72.19 B,$85.06 B,$85.62 B,$86.03 B,$87.38 B,$83.82 B,$81.96 B,$82.30 B,$84.60 B,$79.46 B,$84.43 B,$88.50 B,$42.22 B,$38.65 B,$34.95 B,$32.94 B,$30.05 B,$28.38 B,$24.49 B,$20.15 B
pfizer,$68.53 B,$100.33 B,$81.49 B,$47.64 B,$51.75 B,$53.64 B,$52.54 B,$52.82 B,$48.85 B,$49.60 B,$52.67 B,$59.50 B,$67.42 B,$67.80 B,$50.00 B,$48.29 B,$48.41 B,$49.28 B,$51.29 B,$52.51 B,$45.18 B,$32.37 B,$32.25 B
danaher,$29.56 B,$31.47 B,$29.45 B,$22.28 B,$19.94 B,$19.89 B,$18.32 B,$19.88 B,$20.90 B,$19.91 B,$19.11 B,$18.26 B,$16.09 B,$13.20 B,$11.18 B,$12.69 B,$11.09 B,$9.59 B,$7.98 B,$6.88 B,$5.29 B,$4.57 B,$3.78 B
hdfc-bank,$14.89 B,$12.23 B,$10.86 B,$9.26 B,$8.39 B,$6.52 B,$5.69 B,$4.85 B,$4.29 B,$3.96 B,$3.69 B,$3.58 B,$2.56 B,,,,,,,,,,
verizon,$134.09 B,$136.83 B,$133.61 B,$128.29 B,$131.86 B,$130.86 B,$126.03 B,$125.98 B,$131.62 B,$127.07 B,$120.55 B,$115.84 B,$110.87 B,$106.56 B,$107.80 B,$97.35 B,$93.46 B,$88.82 B,$75.11 B,$71.44 B,$67.54 B,$67.62 B,$67.19 B
tata-consultancy-services,$28.66 B,$27.18 B,$24.93 B,$21.54 B,$22.12 B,$20.35 B,$18.65 B,$17.39 B,$16.14 B,$15.01 B,$12.82 B,$11.17 B,,,,,,,,,,,
