Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
china-construction-bank,,$417.39 B,$410.24 B,$366.34 B,$319.95 B,$289.59 B,$276.03 B,$228.93 B,$222.96 B,$202.25 B,$177.52 B,$152.30 B,$129.93 B,$105.99 B,$81.84 B,$68.62 B,$57.89 B,$42.30 B,$35.65 B,$23.65 B,$22.53 B,$12.95 B,$12.99 B
bank-of-china,,$372.27 B,$368.88 B,$331.61 B,$282.96 B,$250.88 B,$242.35 B,$214.16 B,$209.46 B,$191.12 B,$158.87 B,$138.18 B,$120.26 B,$102.25 B,$79.84 B,$72.49 B,$62.37 B,$53.52 B,$32.55 B,$28.15 B,$27.75 B,,
boeing,,$-15.85 B,$-14.85 B,$-18.08 B,$-8.3 B,$0.41 B,$0.41 B,$0.87 B,$6.39 B,$8.79 B,$14.99 B,$5.96 B,$3.60 B,$2.86 B,$2.22 B,$-1.3 B,$9.00 B,$4.73 B,$11.05 B,$11.28 B,$8.13 B,$7.69 B,$10.82 B
amgen,,$3.66 B,$6.70 B,$9.40 B,$9.67 B,$12.50 B,$25.24 B,$29.87 B,$28.08 B,$25.77 B,$22.09 B,$19.06 B,$19.02 B,$23.94 B,$22.66 B,$20.38 B,$17.86 B,$18.96 B,$20.45 B,$19.70 B,$19.38 B,$18.28 B,$5.21 B
servicenow,,$5.03 B,$3.69 B,$2.83 B,$2.12 B,$1.11 B,$0.58 B,$0.38 B,$0.56 B,$0.42 B,$0.39 B,$0.24 B,$-58.39 M,$-71.27 M,,,,,,,,,
texas-instruments,,$14.57 B,$13.33 B,$9.18 B,$8.90 B,$8.99 B,$10.33 B,$10.47 B,$9.94 B,$10.39 B,$10.80 B,$10.96 B,$10.95 B,$10.43 B,$9.72 B,$9.32 B,$9.97 B,$11.36 B,$11.93 B,$13.06 B,$11.86 B,$10.73 B,$11.87 B
prosus,$44.62 B,$50.52 B,$43.18 B,$29.31 B,$27.24 B,$23.89 B,$11.57 B,,,,,,,,,,,,,,,,
philip-morris,,$-6.32 B,$-8.21 B,$-10.64 B,$-9.6 B,$-10.74 B,$-10.23 B,$-10.9 B,$-11.48 B,$-11.21 B,$-6.28 B,$-1.86 B,$1.76 B,$5.12 B,$6.14 B,$7.50 B,$15.40 B,$14.26 B,$10.30 B,,$10.49 B,,
union-pacific-corporation,,$12.16 B,$14.16 B,$16.95 B,$18.12 B,$20.42 B,$24.85 B,$19.93 B,$20.70 B,$21.18 B,$21.22 B,$19.87 B,$18.57 B,$17.76 B,$16.80 B,$15.44 B,$15.58 B,$15.31 B,$13.70 B,$12.65 B,$12.35 B,$10.65 B,$9.57 B
siemens,,$53.87 B,$57.16 B,$46.76 B,$55.78 B,$55.76 B,$52.57 B,$39.06 B,$39.45 B,$39.99 B,$38.63 B,$40.09 B,$43.68 B,$39.65 B,$39.98 B,$38.59 B,$42.17 B,$37.34 B,$33.40 B,$34.04 B,$29.13 B,$25.90 B,$29.96 B
